week_id,date,year,quarter,week_of_year,scenario,net_sales_observed,spend_tv,impr_tv,spend_search,impr_search,spend_social,impr_social,spend_display,impr_display,spend_video,impr_video,promo,covid_index,dgs30,mobility_index,competitor_ishare,baseline_true,exog_effect_true,noise_true,media_contribution_pct_true,stc_tv_true,ltc_tv_true,stc_search_true,ltc_search_true,stc_social_true,ltc_social_true,stc_display_true,ltc_display_true,stc_video_true,ltc_video_true,brand_stock_tv_true,brand_stock_video_true,brand_stock_social_true
1,2020-01-06,2020,1,2,S3,12.5159,1.602865,0.0617,0.228387,0.0744,0.361849,0.0266,0.125651,0.0229,0.761545,0.0399,0.0,0.0198,1.1982,0.978,0.3358,10.4337,-0.2801,-0.3085,0.2134,0.3062,0.6145,0.3409,0.027,0.2565,0.2264,0.0722,0.0705,0.1587,0.598,7.5963,3.9997,1.1697
2,2020-01-13,2020,1,3,S3,11.7024,0.839942,0.0369,0.191962,0.0594,0.201726,0.0148,0.096515,0.0179,0.439889,0.0247,0.0,0.0,1.196,1.0067,0.3354,9.3397,-0.1829,-0.1775,0.2327,0.3513,0.5976,0.3401,0.0254,0.2584,0.2161,0.0927,0.0675,0.1934,0.5807,7.3865,3.8845,1.1163
3,2020-01-20,2020,1,4,S3,12.0436,0.956092,0.0419,0.195261,0.0604,0.238528,0.0168,0.100033,0.0185,0.482399,0.0256,0.0,0.0156,1.2595,0.9297,0.4017,9.7634,-0.3284,-0.1929,0.2326,0.4011,0.5853,0.3445,0.0251,0.2789,0.2103,0.1047,0.0659,0.2177,0.5682,7.2345,3.8004,1.0863
4,2020-01-27,2020,1,5,S3,12.6624,0.900137,0.0352,0.211297,0.0732,0.249905,0.0164,0.099654,0.0181,0.452203,0.0271,0.0,0.0,1.2949,1.0077,0.365,10.1511,-0.2161,-0.1288,0.2256,0.3953,0.5728,0.404,0.0257,0.2839,0.2063,0.1095,0.0648,0.2386,0.5553,7.0803,3.7142,1.0657
5,2020-02-03,2020,1,6,S3,12.8866,3.235619,0.1334,0.196245,0.0633,0.243519,0.0179,0.094316,0.0188,1.44256,0.0795,0.0,0.0234,1.2171,0.9095,0.3797,9.4946,-0.3407,0.1269,0.2798,0.879,0.6028,0.3708,0.0252,0.3006,0.2026,0.1142,0.0635,0.4595,0.5874,7.4516,3.9291,1.0466
6,2020-02-10,2020,1,7,S3,13.8815,3.549079,0.1368,0.210574,0.068,0.243067,0.017,0.09291,0.0191,1.323758,0.0798,0.05,0.015,1.2188,0.9543,0.3551,9.7147,0.1096,-0.0338,0.2947,1.1621,0.634,0.3857,0.0257,0.2994,0.1996,0.1174,0.0625,0.5932,0.6115,7.8368,4.0904,1.0308
7,2020-02-17,2020,1,8,S3,13.579,0.99856,0.0396,0.214013,0.0745,0.291599,0.0211,0.109387,0.0231,0.4524,0.0238,0.0,0.0364,1.2557,0.9817,0.364,10.1931,-0.3303,0.0393,0.2708,0.8357,0.6191,0.4182,0.026,0.3382,0.2002,0.1318,0.0636,0.4506,0.5934,7.6527,3.9695,1.0342
8,2020-02-24,2020,1,9,S3,13.098,1.02298,0.0368,0.212162,0.0743,0.305619,0.02,0.098563,0.0192,0.468373,0.0262,0.0,0.0146,1.2277,0.9986,0.3562,10.2107,-0.2567,-0.2449,0.2587,0.6423,0.6063,0.4241,0.026,0.3456,0.2016,0.1267,0.0632,0.3747,0.5785,7.4942,3.8695,1.0416
9,2020-03-02,2020,1,10,S3,10.7489,0.951452,0.0387,0.225354,0.0808,0.274922,0.0205,0.100743,0.0208,0.447393,0.0222,0.0,0.8186,1.3076,0.3628,0.3202,10.4772,-2.8794,-0.0923,0.3017,0.545,0.593,0.4549,0.0265,0.3536,0.2009,0.129,0.0632,0.3131,0.5641,7.3301,3.7731,1.0376
10,2020-03-09,2020,1,11,S3,10.8883,0.470119,0.0176,0.216143,0.0692,0.30523,0.023,0.113288,0.0202,0.204451,0.0114,0.0474,0.8487,1.1474,0.3493,0.3483,10.4133,-2.574,0.1175,0.2692,0.3871,0.567,0.4081,0.0263,0.381,0.2022,0.1284,0.0645,0.2333,0.5336,7.0085,3.569,1.0442
11,2020-03-16,2020,1,12,S3,11.2229,0.924082,0.0392,0.22078,0.0695,0.327431,0.0226,0.12148,0.0261,0.315545,0.0167,0.04,0.8266,1.2187,0.4075,0.3422,10.8045,-2.6209,0.119,0.2602,0.4076,0.5569,0.3998,0.0265,0.3898,0.2045,0.1466,0.0662,0.2066,0.5157,6.8844,3.4497,1.0565
12,2020-03-23,2020,1,13,S3,11.4511,1.422383,0.0503,0.258279,0.0816,0.382222,0.0255,0.13105,0.0272,0.58285,0.0328,0.04,0.8396,1.2209,0.3606,0.3358,11.2574,-2.8055,-0.1449,0.2746,0.4736,0.5591,0.4538,0.028,0.4213,0.2096,0.1593,0.0682,0.2546,0.5166,6.9115,3.4556,1.0827
13,2020-03-30,2020,1,14,S3,11.5781,1.42329,0.05,0.245132,0.0842,0.413829,0.0268,0.124854,0.0253,0.557817,0.0291,0.04,0.8802,1.144,0.3847,0.3592,11.1912,-2.8967,0.0323,0.2808,0.5082,0.5611,0.4765,0.028,0.4489,0.2155,0.1596,0.069,0.2686,0.516,6.9362,3.4517,1.113
14,2020-04-06,2020,2,15,S3,12.0241,1.50785,0.0552,0.242999,0.085,0.331665,0.0223,0.115736,0.0236,0.673996,0.0362,0.0522,0.8628,1.2318,0.3529,0.4119,11.0342,-2.7633,0.4398,0.2756,0.5534,0.5646,0.4845,0.0279,0.4177,0.2157,0.1545,0.0685,0.3051,0.5216,6.9793,3.489,1.1142
15,2020-04-13,2020,2,16,S3,11.0349,1.037507,0.04,0.221563,0.0736,0.344358,0.0223,0.114033,0.0231,0.497905,0.0272,0.0,0.836,1.2342,0.3811,0.3865,10.9568,-3.0866,-0.0035,0.2871,0.5027,0.5576,0.4342,0.0269,0.4035,0.2166,0.1502,0.068,0.2912,0.517,6.8926,3.4585,1.119
16,2020-04-20,2020,2,17,S3,11.2471,1.497133,0.0606,0.243286,0.0793,0.423212,0.0295,0.121351,0.0225,0.625791,0.0353,0.0,0.8297,1.2699,0.41,0.4152,11.1483,-3.1164,-0.1386,0.2982,0.577,0.5612,0.45,0.0276,0.4666,0.2217,0.1461,0.0685,0.3152,0.52,6.9374,3.4785,1.1453
17,2020-04-27,2020,2,18,S3,11.4762,1.493124,0.0536,0.250767,0.0764,0.36774,0.0276,0.12729,0.0251,0.642732,0.0369,0.0,0.8507,1.3356,0.3646,0.3994,11.3882,-3.2736,-0.0348,0.2959,0.583,0.5644,0.44,0.028,0.4767,0.2229,0.1525,0.0693,0.3359,0.5236,6.9769,3.502,1.1514
18,2020-05-04,2020,2,19,S3,11.6191,1.047503,0.0381,0.236742,0.0718,0.306703,0.0226,0.111276,0.0207,0.509192,0.0291,0.0,0.6257,1.2877,0.5107,0.4084,10.7565,-2.3672,0.0184,0.2764,0.5094,0.5577,0.417,0.0276,0.4325,0.2203,0.1416,0.0683,0.3175,0.5194,6.8933,3.4743,1.138
19,2020-05-11,2020,2,20,S3,11.7216,0.990267,0.0398,0.223139,0.0677,0.316042,0.0236,0.116936,0.0206,0.552894,0.0265,0.0,0.6366,1.2485,0.5204,0.3763,11.0829,-2.4392,-0.0302,0.2652,0.4777,0.5502,0.3934,0.0269,0.4228,0.2187,0.1359,0.0682,0.296,0.5182,6.801,3.4663,1.1299
20,2020-05-18,2020,2,21,S3,11.4316,1.003904,0.0384,0.23111,0.0705,0.286477,0.0201,0.120032,0.0223,0.46463,0.0249,0.0,0.6562,1.2972,0.5071,0.4061,10.9001,-2.4837,-0.0063,0.2643,0.4534,0.5438,0.4015,0.0271,0.3843,0.2156,0.1384,0.0685,0.2768,0.5121,6.7221,3.4253,1.1139
21,2020-05-25,2020,2,22,S3,12.49,1.573882,0.0601,0.281095,0.0841,0.39458,0.0267,0.138362,0.0252,0.758595,0.0443,0.08,0.6731,1.3525,0.4679,0.4113,11.4091,-1.9569,-0.2887,0.2663,0.5473,0.5503,0.4656,0.0291,0.431,0.2194,0.1489,0.0704,0.3425,0.5222,6.8026,3.4933,1.1332
22,2020-06-01,2020,2,23,S3,12.0044,0.954953,0.0339,0.203057,0.0665,0.309109,0.0215,0.102553,0.0199,0.515943,0.0249,0.0,0.4122,1.2712,0.6858,0.3862,10.7385,-1.6253,-0.1925,0.2569,0.4692,0.5427,0.3975,0.0265,0.4016,0.2176,0.1375,0.068,0.3044,0.5186,6.7087,3.4691,1.1238
23,2020-06-08,2020,2,24,S3,12.4126,0.5429,0.0198,0.231371,0.0826,0.265948,0.0177,0.110245,0.0224,0.243773,0.0142,0.0,0.3542,1.2745,0.7195,0.4097,11.0699,-1.5007,-0.0299,0.2315,0.3562,0.5242,0.4578,0.0269,0.3521,0.2134,0.1394,0.0673,0.239,0.497,6.4799,3.3244,1.102
24,2020-06-15,2020,2,25,S3,11.8183,0.521032,0.0191,0.207991,0.0735,0.27125,0.0184,0.103347,0.0202,0.22034,0.0118,0.0,0.4061,1.3479,0.7139,0.4105,10.7965,-1.6091,-0.0331,0.2254,0.2908,0.5068,0.4281,0.0261,0.3358,0.2102,0.1337,0.0662,0.1902,0.476,6.265,3.1836,1.086
25,2020-06-22,2020,2,26,S3,11.506,0.497375,0.0182,0.201023,0.0666,0.27726,0.018,0.104651,0.0181,0.218574,0.011,0.0,0.4014,1.3089,0.6996,0.3886,10.7054,-1.5813,-0.1132,0.2169,0.2504,0.4904,0.3907,0.0255,0.3255,0.2081,0.1239,0.0655,0.1578,0.4573,6.0616,3.0587,1.0748
26,2020-06-29,2020,2,27,S3,11.453,0.528833,0.0209,0.2136,0.0725,0.246192,0.0161,0.102266,0.0188,0.218991,0.0106,0.0,0.4083,1.3524,0.6881,0.3775,10.6598,-1.5954,-0.0354,0.2116,0.2415,0.4766,0.4101,0.0259,0.3016,0.2042,0.1215,0.0649,0.1369,0.4409,5.8918,2.9491,1.055
27,2020-07-06,2020,3,28,S3,13.4621,1.661813,0.0644,0.270447,0.0939,0.362553,0.0254,0.116977,0.0231,0.808424,0.0406,0.1,0.4323,1.3393,0.6736,0.3763,11.3422,-0.8707,0.0122,0.2212,0.452,0.4916,0.5121,0.0283,0.3806,0.2083,0.1337,0.066,0.2439,0.4619,6.0761,3.0897,1.0758
28,2020-07-13,2020,3,29,S3,12.1375,0.931894,0.0387,0.195124,0.0581,0.253377,0.0176,0.108052,0.0206,0.460743,0.0243,0.0,0.3587,1.3751,0.7354,0.4016,10.619,-1.433,0.1779,0.2285,0.4405,0.4893,0.3685,0.0259,0.3415,0.2049,0.1319,0.0658,0.2431,0.4623,6.0477,3.0923,1.0584
29,2020-07-20,2020,3,30,S3,11.6442,1.266623,0.0452,0.196813,0.0674,0.219599,0.0146,0.100373,0.0178,0.613532,0.0294,0.0,0.3882,1.2882,0.7212,0.4062,10.3702,-1.4904,-0.0198,0.2391,0.4666,0.495,0.3824,0.0253,0.2943,0.1998,0.1221,0.0648,0.2628,0.4712,6.1182,3.152,1.0319
30,2020-07-27,2020,3,31,S3,11.5219,1.313132,0.0503,0.183805,0.0543,0.197022,0.013,0.105093,0.0192,0.524811,0.0303,0.0,0.4118,1.3394,0.6711,0.3833,10.2557,-1.5616,0.0798,0.2385,0.506,0.5011,0.3251,0.0245,0.2584,0.1939,0.1217,0.0647,0.2784,0.4742,6.1939,3.1722,1.0015
31,2020-08-03,2020,3,32,S3,11.8822,1.022855,0.0391,0.193132,0.0594,0.191725,0.0134,0.091963,0.0172,0.507832,0.0243,0.0,0.2684,1.3495,0.7779,0.3991,10.4395,-1.1359,-0.1083,0.2261,0.4724,0.5001,0.337,0.0247,0.2461,0.1887,0.1151,0.0632,0.2637,0.4759,6.1813,3.1835,0.9745
32,2020-08-10,2020,3,33,S3,11.3644,0.977091,0.0389,0.182162,0.0566,0.197425,0.0138,0.086798,0.0152,0.424279,0.0208,0.0,0.3295,1.2992,0.775,0.4091,9.8715,-1.2333,0.1144,0.2298,0.453,0.498,0.3267,0.0243,0.2441,0.1848,0.1057,0.0616,0.2412,0.4724,6.1563,3.1597,0.9546
33,2020-08-17,2020,3,34,S3,12.1164,1.208522,0.0486,0.201964,0.0626,0.224455,0.0146,0.098834,0.0181,0.555758,0.0269,0.06,0.3074,1.2818,0.7612,0.4091,10.0666,-0.7297,0.0751,0.2232,0.4902,0.5016,0.3521,0.025,0.251,0.1836,0.11,0.0619,0.2519,0.477,6.2003,3.1906,0.9486
34,2020-08-24,2020,3,35,S3,12.0891,1.26755,0.0472,0.19801,0.0656,0.223748,0.0147,0.091845,0.0169,0.531987,0.0295,0.06,0.3169,1.3943,0.734,0.4266,9.9299,-0.7757,0.1732,0.2284,0.5039,0.5061,0.3709,0.0251,0.2551,0.1826,0.1085,0.0613,0.2684,0.4797,6.2558,3.2089,0.9434
